TweetID,User,Latitude,Longitude,Timestamp,User_home,User_work,cluster_id
t0,u0,37.82627358465798,-122.546367989891,2025-01-03 23:59:18,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t1,u0,37.81589009392956,-122.55636187498659,2025-01-04 05:51:30,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t2,u0,37.83910272559658,-122.56436813945324,2025-01-03 22:39:46,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t3,u0,37.82053645272043,-122.5451202156474,2025-01-04 06:16:46,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t4,u0,37.816595152919966,-122.54707682073187,2025-01-03 20:34:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t5,u0,37.81284488746677,-122.58034188892519,2025-01-03 23:38:34,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t6,u0,37.8150540520812,-122.56174201692927,2025-01-03 20:01:18,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t7,u0,37.81583955545678,-122.56655062002224,2025-01-04 05:36:38,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t8,u0,37.80815315014855,-122.56191095789114,2025-01-03 20:13:44,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t9,u0,37.81057921174159,-122.56562474450551,2025-01-03 23:05:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t10,u0,37.813652352043164,-122.55374265877006,2025-01-03 20:09:38,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t11,u0,37.82757058821345,-122.55475642656833,2025-01-04 03:31:54,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t12,u0,37.81964759546897,-122.56157696521305,2025-01-03 23:24:17,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t13,u0,37.81014230867694,-122.55766268885968,2025-01-03 20:46:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t14,u0,37.82092243253106,-122.54959399534047,2025-01-04 06:51:42,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t15,u0,37.80638223251519,-122.56542476869859,2025-01-03 22:27:55,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t16,u0,37.81661322363193,-122.5700107538589,2025-01-03 22:50:18,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t17,u0,37.818837089896185,-122.56288503253069,2025-01-04 01:17:05,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t18,u0,37.813109117973475,-122.54187782603658,2025-01-04 05:29:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
