TweetID,User,Latitude,Longitude,Timestamp,User_home,User_work,cluster_id
t0,u0,37.815897977094174,-122.55460645242178,2025-01-03 23:59:18,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t1,u0,37.814492082005245,-122.55377775345809,2025-01-04 05:51:30,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t2,u0,37.815022167118784,-122.555733886618,2025-01-03 22:39:46,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t3,u0,37.81580486357619,-122.55494798786495,2025-01-04 06:16:46,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t4,u0,37.81482835298261,-122.55567106145888,2025-01-03 20:34:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t5,u0,37.815271278454986,-122.55406089918587,2025-01-03 23:38:34,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t6,u0,37.81597174270616,-122.55540428530915,2025-01-03 20:01:18,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t7,u0,37.8147534202539,-122.55581090149818,2025-01-04 05:36:38,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t8,u0,37.815078702182035,-122.55618627486204,2025-01-03 20:13:44,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t9,u0,37.81611578202483,-122.55653767090338,2025-01-03 23:05:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t10,u0,37.8154830348685,-122.55709117425603,2025-01-03 20:09:38,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t11,u0,37.81508320119083,-122.55542344951282,2025-01-04 03:31:54,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t12,u0,37.813906034322656,-122.55697558642633,2025-01-03 23:24:17,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t13,u0,37.81479919810067,-122.55608675710168,2025-01-03 20:46:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t14,u0,37.814704947734626,-122.55633722230661,2025-01-04 06:51:42,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t15,u0,37.81586497920311,-122.55526956985524,2025-01-03 22:27:55,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t16,u0,37.8148840720346,-122.55580742761512,2025-01-03 22:50:18,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t17,u0,37.81508473455773,-122.55552318340052,2025-01-04 01:17:05,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t18,u0,37.81311484503364,-122.55515697516509,2025-01-04 05:29:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t19,u0,37.81379571518706,-122.5563751166482,2025-01-03 20:34:50,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t20,u0,37.81428393321828,-122.5536978273483,2025-01-03 22:18:44,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t21,u0,37.814082394226574,-122.55702839012086,2025-01-03 23:45:45,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t22,u0,37.814557567988594,-122.55575769864146,2025-01-04 02:49:42,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t23,u0,37.81544660645847,-122.55500244242504,2025-01-04 00:56:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t24,u0,37.81465655072843,-122.55514188366142,2025-01-04 02:59:43,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t25,u0,37.81408646845585,-122.55678299733643,2025-01-04 02:52:58,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t26,u0,37.814972364769545,-122.55482744609341,2025-01-04 04:07:05,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t27,u0,37.815377716277254,-122.55557400419566,2025-01-03 21:40:25,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t28,u0,37.81495616001939,-122.55467310605714,2025-01-03 22:17:23,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t29,u0,37.81452028532475,-122.55697637632717,2025-01-04 04:32:08,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t30,u0,37.81434604202257,-122.55438123607674,2025-01-03 23:08:59,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t31,u0,37.81392061560344,-122.55521712918468,2025-01-04 04:22:56,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t32,u0,37.814175096496136,-122.55580833273724,2025-01-04 05:09:25,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t33,u0,37.816231609736306,-122.5566922257198,2025-01-04 03:31:32,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t34,u0,37.81510402057091,-122.55686991963422,2025-01-03 21:15:28,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t35,u0,37.81331725501903,-122.55567935834658,2025-01-03 20:27:48,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t36,u0,37.814895094257174,-122.55587312458312,2025-01-04 00:23:20,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t37,u0,37.81456715572939,-122.55518334825354,2025-01-03 20:41:31,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t38,u0,37.81480485670686,-122.5564571579527,2025-01-04 00:06:10,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t39,u0,37.815747104175614,-122.55721757885034,2025-01-03 21:29:20,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t40,u0,37.81460763524277,-122.5559385634154,2025-01-04 00:50:15,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t41,u0,37.81545656020106,-122.55594551092285,2025-01-03 23:58:55,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t42,u0,37.814297340239634,-122.55410598733685,2025-01-04 04:48:49,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t43,u0,37.81384893644478,-122.55469572374423,2025-01-04 04:29:11,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t44,u0,37.81482635038466,-122.5557172480893,2025-01-04 03:40:32,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t45,u0,37.81497570045849,-122.55541095746081,2025-01-03 23:20:43,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t46,u0,37.81314873116568,-122.55651441948082,2025-01-03 23:21:23,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t47,u0,37.81594640343643,-122.5539768591636,2025-01-04 03:08:16,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t48,u0,37.8154493956195,-122.55530638295085,2025-01-04 05:17:15,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t49,u0,37.81405907698167,-122.55554821385604,2025-01-04 01:03:17,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t50,u0,37.81509565442229,-122.55596008488354,2025-01-04 00:18:45,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t51,u0,37.81471679147672,-122.55522257678652,2025-01-03 21:57:39,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t52,u0,37.81377040478978,-122.5556848717257,2025-01-03 20:20:11,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t53,u0,37.8150757575858,-122.55619866919035,2025-01-04 04:27:47,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t54,u0,37.81426689337898,-122.55703443795025,2025-01-04 05:20:25,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t55,u0,37.814749635686404,-122.55563485251935,2025-01-04 03:46:36,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t56,u0,37.81515963119192,-122.55638469187815,2025-01-03 21:55:49,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t57,u0,37.81564432552111,-122.55714055021399,2025-01-03 22:01:09,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t58,u0,37.8134326919424,-122.55681289921293,2025-01-03 23:24:04,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t59,u0,37.81421489794237,-122.55574019555962,2025-01-04 03:43:12,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t60,u0,37.81467500784615,-122.55559446447015,2025-01-04 06:25:17,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t61,u0,37.81531653286483,-122.55444149778081,2025-01-03 21:21:19,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t62,u0,37.81516298714787,-122.5556751316989,2025-01-04 06:29:32,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t63,u0,37.81454135982928,-122.55478023197345,2025-01-03 22:23:38,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t64,u0,37.81482120304431,-122.55572177000072,2025-01-03 22:48:44,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t65,u0,37.81596398882255,-122.55589909083484,2025-01-04 04:20:33,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t66,u0,37.81488046340792,-122.55681682804962,2025-01-04 06:19:24,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t67,u0,37.816083194213626,-122.55611109106763,2025-01-04 05:28:27,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t68,u0,37.816000866103586,-122.5544411318721,2025-01-04 05:07:37,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
t69,u0,37.81407842777007,-122.55606822141239,2025-01-04 04:34:44,"[37.81482372144499, -122.55573841531671]","[37.719806244342436, -122.37300880168014]",home
